,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
56,INFRATEL,EQ,02-Aug-2017,403.7,402.0,407.0,395.3,396.45,397.85,402.06,2252956,905820993.4,30241,1317326,58.47,8,2017,389.8431117589982,-0.014490958632647932,Slight or No change
57,INFRATEL,EQ,03-Aug-2017,397.85,399.0,407.5,396.0,399.9,403.95,402.67,3426255,1379643739.15,35139,1657571,48.38,8,2017,390.20159726793645,0.015332411712956961,Slight or No change
58,INFRATEL,EQ,04-Aug-2017,403.95,400.0,408.9,399.0,405.6,406.55,404.66,2078958,841269804.9,23090,1381155,66.43,8,2017,390.4498512936324,0.006436440153484435,Slight or No change
59,INFRATEL,EQ,07-Aug-2017,406.55,406.5,408.5,395.6,399.0,397.85,403.58,2453089,990007687.6,30730,1453533,59.25,8,2017,390.5801128405737,-0.021399581847251214,Slight or No change
60,INFRATEL,EQ,08-Aug-2017,397.85,389.0,389.8,380.0,382.3,383.6,384.71,12856633,4946108213.2,65778,3677096,28.6,8,2017,389.9905526587849,-0.03581751916551468,Slight or No change
61,INFRATEL,EQ,09-Aug-2017,383.6,379.0,385.4,379.0,381.7,381.7,382.33,2750683,1051677088.45,33160,2103073,76.46,8,2017,389.84339445804244,-0.00495307612095941,Slight or No change
62,INFRATEL,EQ,10-Aug-2017,381.7,380.3,387.9,378.95,383.0,382.45,383.08,3050083,1168431760.1,47245,2141348,70.21,8,2017,389.7006855212554,0.0019648938957297357,Slight or No change
63,INFRATEL,EQ,11-Aug-2017,382.45,376.1,383.75,376.1,382.5,382.3,380.5,2645105,1006465147.75,134964,2072955,78.37,8,2017,389.57884244080253,-0.0003922081317818682,Slight or No change
64,INFRATEL,EQ,14-Aug-2017,382.3,385.9,385.9,378.5,380.75,379.85,381.37,2677716,1021209440.3,71688,1966019,73.42,8,2017,389.4193525818798,-0.006408579649489932,Slight or No change
65,INFRATEL,EQ,16-Aug-2017,379.85,382.5,383.8,377.9,382.6,382.9,381.97,1986044,758612791.5,57588,1450546,73.04,8,2017,389.3410363103299,0.008029485323153729,Slight or No change
66,INFRATEL,EQ,17-Aug-2017,382.9,388.0,388.75,378.55,379.4,379.35,383.04,1591863,609740783.0,53152,756872,47.55,8,2017,389.2457537895765,-0.009271350221989993,Slight or No change
67,INFRATEL,EQ,18-Aug-2017,379.35,381.0,396.75,379.95,395.0,395.3,391.18,4427161,1731815005.55,190992,2653103,59.93,8,2017,389.4021815150934,0.04204560432318427,Slight or No change
68,INFRATEL,EQ,21-Aug-2017,395.3,395.7,396.55,382.65,386.4,386.6,390.18,1956668,763450264.9,64563,1062851,54.32,8,2017,389.370543411914,-0.022008601062484145,Slight or No change
69,INFRATEL,EQ,22-Aug-2017,386.6,386.9,396.0,385.65,387.05,387.85,390.46,2609604,1018957636.3,83656,1693296,64.89,8,2017,389.347986505272,0.003233316088980809,Slight or No change
70,INFRATEL,EQ,23-Aug-2017,387.85,389.9,389.9,380.75,382.85,382.8,383.12,1201788,460430828.6,23589,567601,47.23,8,2017,389.3035556337856,-0.013020497615057414,Slight or No change
71,INFRATEL,EQ,24-Aug-2017,382.8,382.9,387.8,380.3,386.5,383.9,383.81,1863817,715343720.65,43070,970978,52.1,8,2017,389.2472844888472,0.002873563218390718,Slight or No change
72,INFRATEL,EQ,28-Aug-2017,383.9,387.55,388.8,382.75,387.75,386.7,386.75,1402650,542469931.45,47641,845727,60.29,8,2017,389.2274765490827,0.007293566032821053,Slight or No change
73,INFRATEL,EQ,29-Aug-2017,386.7,387.6,387.6,377.0,380.45,380.3,381.43,1102703,420609169.1,21654,766271,69.49,8,2017,389.1732323936569,-0.016550297388156165,Slight or No change
74,INFRATEL,EQ,30-Aug-2017,380.3,383.95,385.85,379.6,385.4,384.75,383.56,838089,321455463.75,23232,528442,63.05,8,2017,389.15289971431565,0.011701288456481773,Slight or No change
